DrugBank IDs,Drug Name,Gene Name(Symbol),Gene Detailed Name,GeneBank Gene ID,UniprotID
DB05252,ACCLAIM,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB06879,"5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB06916,"N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07002,4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07003,"(2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07007,"(3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07008,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07011,"(3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07029,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07306,ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07318,"N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07388,ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07389,N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB07405,"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB08214,4-(1H-IMIDAZOL-1-YL)PHENOL,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB08750,"1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB08814,NULL,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB00157,NADH,HSD17B2,Estradiol 17-beta-dehydrogenase 2,L11708,P37059
DB00114,Pyridoxal Phosphate,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB00131,Adenosine monophosphate,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB01696,"7,9-Dihydro-1h-Purine-2,6,8(3h)-Trione",PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB02089,CP-526423,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB02320,1-N-Acetyl-Beta-D-Glucosamine,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB02379,Beta-D-Glucose,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB03288,5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB03744,"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB04522,Phosphonoserine,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB05044,NULL,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB07315,"5-chloro-N-{4-[(1R)-1,2-dihydroxyethyl]phenyl}-1H-indole-2-carboxamide",PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB07395,"4-[3-(2-Chloro-4,5-difluoro-benzoyl)ureido]-3-trifluoromethoxybenzoic acid",PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB07396,"1-{2-[3-(2-Chloro-4,5-difluoro-benzoyl)-ureido]-4-fluoro-phenyl}-piperidine-4-carboxylic acid",PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB07968,N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB08844,Uric Acid,PYGL,"Glycogen phosphorylase, liver form",M14636,P06737
DB00157,NADH,NNT,"NAD(P) transhydrogenase, mitochondrial",U40490,Q13423
DB01763,Tatp,NNT,"NAD(P) transhydrogenase, mitochondrial",U40490,Q13423
DB03461,2'-Monophosphoadenosine 5'-Diphosphoribose,NNT,"NAD(P) transhydrogenase, mitochondrial",U40490,Q13423
DB00157,NADH,ADH5,Alcohol dehydrogenase class-3,M30471,P11766
DB03704,12-Hydroxydodecanoic Acid,ADH5,Alcohol dehydrogenase class-3,M30471,P11766
DB04153,S-Hydroxymethyl Glutathione,ADH5,Alcohol dehydrogenase class-3,M30471,P11766
DB00116,Tetrahydrofolic acid,AMT,"Aminomethyltransferase, mitochondrial",D13811,P48728
DB00157,NADH,AMT,"Aminomethyltransferase, mitochondrial",D13811,P48728
DB04789,5-methyltetrahydrofolate,AMT,"Aminomethyltransferase, mitochondrial",D13811,P48728
DB00157,NADH,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",U07681,P50213
DB00568,Cinnarizine,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB00617,Paramethadione,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB00661,Verapamil,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB00909,Zonisamide,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB01388,Mibefradil,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB04841,Flunarizine,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,AF129133,Q9P0X4
DB00201,Caffeine,ADORA1,Adenosine receptor A1,S45235,P30542
DB00277,Theophylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB00640,Adenosine,ADORA1,Adenosine receptor A1,S45235,P30542
DB00651,Dyphylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB00806,Pentoxifylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB00824,Enprofylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB00996,Gabapentin,ADORA1,Adenosine receptor A1,S45235,P30542
DB01223,Aminophylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB01303,Oxtriphylline,ADORA1,Adenosine receptor A1,S45235,P30542
DB01412,Theobromine,ADORA1,Adenosine receptor A1,S45235,P30542
DB04954,Tecadenoson,ADORA1,Adenosine receptor A1,S45235,P30542
DB05360,KW-3902,ADORA1,Adenosine receptor A1,S45235,P30542
DB00171,Adenosine triphosphate,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB00619,Imatinib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB01254,Dasatinib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB04868,Nilotinib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB05184,NULL,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB06616,Bosutinib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB07831,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE",ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08043,1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08231,MYRISTIC ACID,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08339,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE",ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08350,"5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE",ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08583,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide",ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08896,Regorafenib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB08901,Ponatinib,ABL1,Tyrosine-protein kinase ABL1,X16416,P00519
DB00895,Benzylpenicilloyl Polylysine,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha,X06948,P12319
DB05797,NULL,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha,X06948,P12319
DB00154,Dihomo-γ-linolenic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00159,Icosapent,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00244,Mesalazine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00316,Acetaminophen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00328,Indomethacin,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00350,Minoxidil,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00461,Nabumetone,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00465,Ketorolac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00469,Tenoxicam,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00500,Tolmetin,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00554,Piroxicam,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00573,Fenoprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00586,Diclofenac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00605,Sulindac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00711,Diethylcarbamazine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00712,Flurbiprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00749,Etodolac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00784,Mefenamic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00788,Naproxen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00795,Sulfasalazine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00812,Phenylbutazone,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00814,Meloxicam,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00821,Carprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00861,Diflunisal,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00870,Suprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00936,Salicylic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00939,Meclofenamic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00945,Acetylsalicylic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00963,Bromfenac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00991,Oxaprozin,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01009,Ketoprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01014,Balsalazide,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01050,Ibuprofen,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01283,Lumiracoxib,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01397,Magnesium salicylate,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01398,Salicylate-sodium,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01399,Salsalate,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01401,Trisalicylate-choline,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01419,Antrafenine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01435,Antipyrine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01600,Tiaprofenic acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01837,O-Acetylserine,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB01892,Hyperforin,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02047,"2-(1,1'-Biphenyl-4-Yl)Propanoic Acid",PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02110,Protoporphyrin Ix Containing Co,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02198,2-Bromoacetyl Group,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02266,Flufenamic Acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02379,Beta-D-Glucose,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02709,Resveratrol,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB02773,(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB03667,Acetic Acid Salicyloyl-Amino-Ester,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB03752,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB03753,Flurbiprofen Methyl Ester,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB03783,Phenacetin,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB04552,Niflumic Acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB04557,Arachidonic Acid,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB04817,Metamizole,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB05335,NULL,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB05822,NULL,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB06725,Lornoxicam,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB06802,Nepafenac,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB07981,2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1R)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB07983,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB07984,2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB08814,NULL,PTGS1,Prostaglandin G/H synthase 1,M31822,P23219
DB00171,Adenosine triphosphate,ADRBK2,Beta-adrenergic receptor kinase 2,X69117,P35626
DB00254,Doxycycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB00256,Lymecycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB00453,Clomocycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB00595,Oxytetracycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB00618,Demeclocycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB01017,Minocycline,rpsD,30S ribosomal protein S4,X02543,P0A7V8
DB00246,Ziprasidone,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00248,Cabergoline,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00268,Ropinirole,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00334,Olanzapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00353,Methylergometrine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00363,Clozapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00372,Thiethylperazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00397,Phenylpropanolamine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00408,Loxapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00413,Pramipexole,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00420,Promazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00477,Chlorpromazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00502,Haloperidol,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00508,Triflupromazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00543,Amoxapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00589,Lisuride,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00623,Fluphenazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00679,Thioridazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00714,Apomorphine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00734,Risperidone,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00777,Propiomazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00800,Fenoldopam,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00805,Minaprine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00850,Perphenazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00875,Flupentixol,DRD1,D(1A) dopamine receptor,X55760,P21728
DB00988,Dopamine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01038,Carphenazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01049,Ergoloid mesylate,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01063,Acetophenazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01186,Pergolide,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01200,Bromocriptine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01224,Quetiapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01235,L-DOPA,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01238,Aripiprazole,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01239,Chlorprothixene,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01267,Paliperidone,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01403,Methotrimeprazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01608,Propericiazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01614,Acepromazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01621,Pipotiazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01622,Thioproperazine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01623,Thiothixene,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01624,Zuclopenthixol,DRD1,D(1A) dopamine receptor,X55760,P21728
DB04946,Iloperidone,DRD1,D(1A) dopamine receptor,X55760,P21728
DB05271,Rotigotine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB05816,NULL,DRD1,D(1A) dopamine receptor,X55760,P21728
DB06216,Asenapine,DRD1,D(1A) dopamine receptor,X55760,P21728
DB08919,Zuclopenthixol acetate,DRD1,D(1A) dopamine receptor,X55760,P21728
DB08920,Zuclopenthixol decanoate,DRD1,D(1A) dopamine receptor,X55760,P21728
DB01099,Flucytosine,TMP1,Thymidylate synthase,J04230,P12461
DB00139,Succinic acid,SLC13A1,Solute carrier family 13 member 1,AF260824,Q9BZW2
DB00398,Sorafenib,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB01268,Sunitinib,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB04879,Vatalanib,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB05075,NULL,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB06080,NULL,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB06589,Pazopanib,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB06626,NULL,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB08896,Regorafenib,FLT4,Vascular endothelial growth factor receptor 3,X69878,P35916
DB00384,Triamterene,SCNN1B,Amiloride-sensitive sodium channel subunit beta,X87159,P51168
DB00594,Amiloride,SCNN1B,Amiloride-sensitive sodium channel subunit beta,X87159,P51168
DB04866,Halofuginone,COL1A1,Collagen alpha-1(I) chain,Z74615,P02452
DB00309,Vindesine,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB01229,Paclitaxel,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB01248,Docetaxel,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB01394,Colchicine,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB01873,Epothilone D,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB03010,Epothilone B,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB04940,NULL,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB05147,NULL,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB06042,NULL,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB06772,Cabazitaxel,TUBB1,Tubulin beta-1 chain,AJ292757,Q9H4B7
DB00157,NADH,NDUFV3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",X99726,P56181
DB00120,L-Phenylalanine,FARS2,"Phenylalanine--tRNA ligase, mitochondrial",AF097441,O95363
DB00398,Sorafenib,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB01268,Sunitinib,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB04879,Vatalanib,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB05075,NULL,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB05913,NULL,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB06080,NULL,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB06589,Pazopanib,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB06626,NULL,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB07288,N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB08896,Regorafenib,FLT1,Vascular endothelial growth factor receptor 1,X51602,P17948
DB00138,L-Cystine,SLC7A11,Cystine/glutamate transporter,AB026891,Q9UPY5
DB00142,L-Glutamic Acid,SLC7A11,Cystine/glutamate transporter,AB026891,Q9UPY5
DB00740,Riluzole,SLC7A11,Cystine/glutamate transporter,AB026891,Q9UPY5
DB00795,Sulfasalazine,SLC7A11,Cystine/glutamate transporter,AB026891,Q9UPY5
DB06151,Acetylcysteine,SLC7A11,Cystine/glutamate transporter,AB026891,Q9UPY5
DB00157,NADH,DHCR7,7-dehydrocholesterol reductase,AF096305,Q9UBM7
DB00162,Vitamin A,DHRS4,Dehydrogenase/reductase SDR family member 4,AF044127,Q9BTZ2
DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",INSR,Insulin receptor,M10051,P06213
DB05115,NULL,INSR,Insulin receptor,M10051,P06213
DB05120,NULL,INSR,Insulin receptor,M10051,P06213
DB08513,[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID,INSR,Insulin receptor,M10051,P06213
